timestamp,RPC,url,title,marketing_tags,brand,section,price_data,stock,assets,metadata,variants
1747318207,61066,https://alkoteka.com/product/shampanskoe-1/mezon-game-riv-gosh_61066,"Мезон Гамэ Рив Гош, Белое, 0.75 Л",,,"Шампанское и игристое,Шампанское","{'current': 7200.0, 'original': 7200.0, 'sale_tag': ''}","{'in_stock': True, 'count': 224}","{'main_image': 'https://web.alkoteka.com/resize/350_500/product/1f/d5/61066_image.png', 'set_images': '', 'view360': '', 'video': ''}","{'__description': '', 'Артикул': '61066', 'Код товара': '61066', 'Цвет': 'Белое', 'Объем': '0.75 Л', 'Подназвание': 'Maison Gamet Rive Gauche', 'Статус': 'active'}",2
1747318207,61072,https://alkoteka.com/product/shampanskoe-1/mezon-game-millezim-bryut-natyur_61072,"Мезон Гамэ Миллезим Брют Натюр, Белое, 0.75 Л",,,"Шампанское и игристое,Шампанское","{'current': 9990.0, 'original': 9990.0, 'sale_tag': ''}","{'in_stock': True, 'count': 44}","{'main_image': 'https://web.alkoteka.com/resize/350_500/product/99/3c/61072_image.png', 'set_images': '', 'view360': '', 'video': ''}","{'__description': '', 'Артикул': '61072', 'Код товара': '61072', 'Цвет': 'Белое', 'Объем': '0.75 Л', 'Подназвание': 'Maison Gamet Millesime Brut Nature', 'Статус': 'active'}",2
1747318207,61068,https://alkoteka.com/product/shampanskoe-1/mezon-game-roze_61068,"Мезон Гамэ Розе, Розовое, 0.75 Л",,,"Шампанское и игристое,Шампанское","{'current': 6815.0, 'original': 6815.0, 'sale_tag': ''}","{'in_stock': True, 'count': 211}","{'main_image': 'https://web.alkoteka.com/resize/350_500/product/49/19/61068_image.png', 'set_images': '', 'view360': '', 'video': ''}","{'__description': '', 'Артикул': '61068', 'Код товара': '61068', 'Цвет': 'Розовое', 'Объем': '0.75 Л', 'Подназвание': 'Maison Gamet Rose', 'Статус': 'active'}",2
1747318207,58857,https://alkoteka.com/product/shampanskoe-1/vinsan-kush-millezim-2007_58857,"Винсан Куш Миллезим 2007, Белое, 0.75 Л",,,"Шампанское и игристое,Шампанское","{'current': 10995.0, 'original': 13350.0, 'sale_tag': 'Скидка 18%'}","{'in_stock': True, 'count': 55}","{'main_image': 'https://web.alkoteka.com/resize/350_500/product/ce/47/58857_image.png', 'set_images': '', 'view360': '', 'video': ''}","{'__description': '', 'Артикул': '58857', 'Код товара': '58857', 'Цвет': 'Белое', 'Объем': '0.75 Л', 'Подназвание': 'Vincent Couche Millesime 2007', 'Статус': 'active'}",2
1747318207,58855,https://alkoteka.com/product/shampanskoe-1/vinsen-kush-shardone-de-montge_58855,"Винсен Куш Шардоне де Монтгё, Белое, 0.75 Л",,,"Шампанское и игристое,Шампанское","{'current': 10495.0, 'original': 10495.0, 'sale_tag': ''}","{'in_stock': True, 'count': 215}","{'main_image': 'https://web.alkoteka.com/resize/350_500/product/b4/8c/58855_image.png', 'set_images': '', 'view360': '', 'video': ''}","{'__description': '', 'Артикул': '58855', 'Код товара': '58855', 'Цвет': 'Белое', 'Объем': '0.75 Л', 'Подназвание': 'Vincent Couche Chardonnay de Montgueux', 'Статус': 'active'}",2
1747318207,66245,https://alkoteka.com/product/vino-igristoe/di-kaspiko-fiori-di-mare-roze_66245,"Ди Каспико Фиори ди Маре Розе, Розовое, 0.75 Л",,,"Шампанское и игристое,Вино игристое","{'current': 429.0, 'original': 499.0, 'sale_tag': 'Скидка 14%'}","{'in_stock': True, 'count': 962}","{'main_image': 'https://web.alkoteka.com/resize/350_500/product/90/b1/66245_image.png', 'set_images': '', 'view360': '', 'video': ''}","{'__description': '', 'Артикул': '66245', 'Код товара': '66245', 'Цвет': 'Розовое', 'Объем': '0.75 Л', 'Подназвание': 'Di Caspico Fiori di Mare Rose', 'Статус': 'active'}",2
1747318207,61064,https://alkoteka.com/product/shampanskoe-1/mezon-game-riv-drua-blan-de-nuar_61064,"Мезон Гамэ Рив Друа Блан де Нуар, Белое, 0.75 Л",,,"Шампанское и игристое,Шампанское","{'current': 6280.0, 'original': 6280.0, 'sale_tag': ''}","{'in_stock': True, 'count': 246}","{'main_image': 'https://web.alkoteka.com/resize/350_500/product/ce/fb/61064_image.png', 'set_images': '', 'view360': '', 'video': ''}","{'__description': '', 'Артикул': '61064', 'Код товара': '61064', 'Цвет': 'Белое', 'Объем': '0.75 Л', 'Подназвание': 'Maison Gamet Rive Droite', 'Статус': 'active'}",2
1747318207,87828,https://alkoteka.com/product/vino-igristoe/cimmerman-risling-zekt_87828,"Циммерман Рислинг Зект, Белое, 0.75 Л",,,"Шампанское и игристое,Вино игристое","{'current': 1540.0, 'original': 1540.0, 'sale_tag': ''}","{'in_stock': True, 'count': 212}","{'main_image': 'https://web.alkoteka.com/resize/350_500/product/5b/fa/87828_image.png', 'set_images': '', 'view360': '', 'video': ''}","{'__description': '', 'Артикул': '87828', 'Код товара': '87828', 'Цвет': 'Белое', 'Объем': '0.75 Л', 'Подназвание': 'Zimmermann Riesling Sekt', 'Статус': 'active'}",2
1747318207,44956,https://alkoteka.com/product/vino-igristoe/krone-vintazh-roze-kyuve-bryut_44956,"Кроне Винтаж Розе Кюве Брют, Розовое, 0.75 Л",,,"Шампанское и игристое,Вино игристое","{'current': 1899.0, 'original': 1899.0, 'sale_tag': ''}","{'in_stock': True, 'count': 6}","{'main_image': 'https://web.alkoteka.com/resize/350_500/product/4a/00/44956_image.png', 'set_images': '', 'view360': '', 'video': ''}","{'__description': '', 'Артикул': '44956', 'Код товара': '44956', 'Цвет': 'Розовое', 'Объем': '0.75 Л', 'Подназвание': 'Krone Vintage Rose Cuvee Brut', 'Статус': 'active'}",2
1747318207,67589,https://alkoteka.com/product/vino-igristoe/trezor-de-luar-kreman-de-luar_67589,"Трезор Де Луар Креман Де Луар, Белое, 0.75 Л",,,"Шампанское и игристое,Вино игристое","{'current': 2450.0, 'original': 2450.0, 'sale_tag': ''}","{'in_stock': True, 'count': 54}","{'main_image': 'https://web.alkoteka.com/resize/350_500/product/1d/e0/67589_image.png', 'set_images': '', 'view360': '', 'video': ''}","{'__description': '', 'Артикул': '67589', 'Код товара': '67589', 'Цвет': 'Белое', 'Объем': '0.75 Л', 'Подназвание': 'Tresors De Loire Cremant De Loire Brut', 'Статус': 'active'}",2
1747318207,96269,https://alkoteka.com/product/vino-igristoe/simonsvley-roze-bryut_96269,"Симонсвлей Розе Брют, Розовое, 0.75 Л",,,"Шампанское и игристое,Вино игристое","{'current': 1165.0, 'original': 1165.0, 'sale_tag': ''}","{'in_stock': True, 'count': 403}","{'main_image': 'https://web.alkoteka.com/resize/350_500/product/29/3d/96269_image.png', 'set_images': '', 'view360': '', 'video': ''}","{'__description': '', 'Артикул': '96269', 'Код товара': '96269', 'Цвет': 'Розовое', 'Объем': '0.75 Л', 'Подназвание': 'Simonsvlei Rose Brut', 'Статус': 'active'}",2
1747318207,96271,https://alkoteka.com/product/vino-igristoe/simonsvley-demi-sek_96271,"Симонсвлей Деми-Сек, Белое, 0.75 Л",,,"Шампанское и игристое,Вино игристое","{'current': 1165.0, 'original': 1165.0, 'sale_tag': ''}","{'in_stock': True, 'count': 320}","{'main_image': 'https://web.alkoteka.com/resize/350_500/product/c9/77/96271_image.png', 'set_images': '', 'view360': '', 'video': ''}","{'__description': '', 'Артикул': '96271', 'Код товара': '96271', 'Цвет': 'Белое', 'Объем': '0.75 Л', 'Подназвание': 'Simonsvlei Demi-Sec', 'Статус': 'active'}",2
1747318207,1826,https://alkoteka.com/product/vino-igristoe/mondoro-asti_1826,"Мондоро Асти, Белое, 0.75 Л",,,"Шампанское и игристое,Вино игристое","{'current': 1499.0, 'original': 2499.0, 'sale_tag': 'Скидка 40%'}","{'in_stock': True, 'count': 2178}","{'main_image': 'https://web.alkoteka.com/resize/350_500/product/f4/42/1826_image.png', 'set_images': '', 'view360': '', 'video': ''}","{'__description': '', 'Артикул': '1826', 'Код товара': '1826', 'Цвет': 'Белое', 'Объем': '0.75 Л', 'Подназвание': 'Mondoro Asti', 'Статус': 'active'}",2
